country name,average population,average urban population,average urban population ratio,average birth rate
"""Gambia, The""",1506875.7272727273,813627.6363636364,0.5399434217685684,3.1964029690161424
Romania,21727809.727272727,11708531.363636363,0.5388730622461143,4.605170185988092
Syrian Arab Republic,18328570.454545453,9770488.363636363,0.5330742180830201,3.6852496860633575
Seychelles,84058.63636363637,44608.36363636364,0.5306815047937317,4.017383521085972
Jamaica,2649988.4545454546,1397484.4545454546,0.5273549219236736,4.012345727056015
Georgia,4382163.636363637,2307841.272727273,0.5266442479638535,4.422848629194137
French Polynesia,254671.72727272726,132055.54545454544,0.5185324137418973,3.997382854379303
Serbia,7423630.818181818,3832980.909090909,0.5163215955867907,4.605170185988092
Azerbaijan,8463184.090909092,4368813.545454546,0.5162139330216625,4.112693700890297
Isle of Man,79814.33333333333,40894.0,0.5123641117092586,4.509860006183766
Fiji,829248.9090909091,421727.1818181818,0.5085652536830153,3.760473107300945
Belize,293935.0909090909,148100.63636363635,0.5038549017934078,3.622070784441826
Slovenia,2009390.1818181819,993391.4545454546,0.49437459361257136,4.642211457668441
Indonesia,226999190.45454547,109187359.63636364,0.48100329969338557,3.916578821964007
Ghana,21695099.09090909,10403607.909090908,0.47953723859460673,3.4084966841437665
Turkmenistan,4758774.909090909,2261978.272727273,0.4753278555802483,3.792221805615526
Guatemala,12752520.636363637,6040022.181818182,0.4736335940202396,3.365479299060076
Cote d'Ivoire,18082819.90909091,8483162.909090908,0.46912831913047504,3.3292996424825736
Aruba,100064.45454545454,46742.27272727273,0.4671216461389886,4.371176618649816
Honduras,6891312.090909091,3214290.909090909,0.46642654790386734,3.5435991690003306
Nigeria,140307543.63636363,65037271.45454545,0.46353367587350225,3.1941832122778293
St. Vincent and the Grenadines,108678.27272727272,50007.09090909091,0.4601388083760157,4.002345643721432
Bosnia and Herzegovina,3765967.727272727,1725339.1818181819,0.4581396620378512,4.651690201622984
Albania,3137913.6363636362,1407532.0909090908,0.4485566698196978,4.25579454453097
Kiribati,89567.5,38894.5,0.4342479135847266,3.5935692743096115
Haiti,9335387.090909092,3999912.5454545454,0.4284677760550183,3.556257565872254
Moldova,3596935.272727273,1538460.6363636365,0.4277142955639407,4.422848629194137
"""Egypt, Arab Rep.""",74266212.0,31680638.636363637,0.4265821264233005,3.714663571269651
Mauritius,1239456.5454545454,526643.3636363636,0.4248986102560198,4.218054216548123
Senegal,10910091.181818182,4554286.636363637,0.41743799941410376,3.2418653430928996
Sudan,30655712.545454547,12537564.727272727,0.40897971980532954,3.344645212157234
Faeroe Islands,48572.0,19856.0,0.40879519064481595,4.268697949366879
Mauritania,3048409.909090909,1237695.9090909092,0.40601360906217904,3.334388711990045
China,1302350454.5454545,526473525.45454544,0.4042487362883402,4.392995666044456
Benin,7651433.909090909,3075522.0,0.4019536777735054,3.1853531328295572
Togo,5411486.090909091,2169101.5454545454,0.4008328782547331,3.365479299060076
Equatorial Guinea,608644.7272727273,238087.54545454544,0.39117655142005514,3.2701691192557516
Barbados,270481.45454545453,104112.0,0.3849136354836628,4.501629507047252
Central African Republic,4033069.3636363638,1540803.5454545454,0.38204241150598517,3.299297392178775
Sierra Leone,5073880.0,1876469.1818181819,0.36982923952048175,3.1809671608863033
Uzbekistan,26315854.545454547,9714056.363636363,0.36913322905237905,3.833379878109033
Zimbabwe,12543790.090909092,4513111.7272727275,0.35978852440647363,3.524907035988178
Kyrgyz Republic,5161954.545454546,1854273.0,0.3592191646927256,3.7922218056155255
Somalia,8359444.545454546,2955111.727272727,0.35350575163269327,3.1010927892118176
Namibia,2085518.5454545454,735302.9090909091,0.35257557919756954,3.549908338193595
Zambia,11524832.909090908,4051942.090909091,0.3515835867531647,3.1112451606758356
Pakistan,158874699.36363637,55730010.45454545,0.35077964381848625,3.549908338193595
Mozambique,20773999.727272727,7212766.909090909,0.3472016464706974,3.1897584262974736
Maldives,294945.45454545453,100851.72727272728,0.34193348539021085,3.982640572642099
Guinea,9088541.909090908,3016270.272727273,0.33187614722997727,3.2030919571669387
St. Kitts and Nevis,46410.5,15139.0,0.3261977354262505,4.074541934925921
"""Congo, Dem. Rep.""",57535108.63636363,18683406.09090909,0.324730525999228,3.0692809615768035
Thailand,66454104.90909091,21572542.363636363,0.32462317253610684,4.3152179650017715
Antigua and Barbuda,79081.5,25160.0,0.3181527917401668,3.937340813412436
Bhutan,654153.6363636364,204928.27272727274,0.3132723894442368,3.756574466885288
Channel Islands,149089.54545454544,45981.36363636364,0.3084144062293253,4.642211457668441
Myanmar,46405613.18181818,14305791.818181818,0.3082771853941768,3.9777743829909267
Grenada,102845.72727272728,31695.363636363636,0.30818357239395633,3.963316299815697
Mali,13238110.272727273,4066917.3636363638,0.30721283324062465,3.03277354523434
Guinea-Bissau,1371920.3636363635,408044.2727272727,0.2974256258181962,3.2143406697028096
"""Yemen, Rep.""",20741624.181818184,6046136.818181818,0.291497751824169,3.2372249635363977
India,1139737707.0,328757161.3636364,0.2884498418754486,3.7297014486341915
Madagascar,17947956.90909091,5146455.545454546,0.28674325281268026,3.2797845779551933
Guyana,744983.1818181818,211504.36363636365,0.28390488375881584,3.9396745367586563
Comoros,645277.0909090909,180931.0909090909,0.28039286293921933,3.232606017680103
St. Lucia,164712.36363636365,45820.454545454544,0.27818467013570763,4.218054216548123
Lao PDR,5757553.7272727275,1593709.4545454546,0.27680322755761283,3.653161371511857
Vietnam,82336300.0,21845954.818181816,0.2653259232948507,4.074541934925921
Tajikistan,6486799.090909091,1716061.3636363635,0.2645467108795359,3.5467487779032267
Timor-Leste,986376.0,259167.0,0.26274666050268863,3.216605676333662
Bangladesh,139913660.0,36157166.27272727,0.2584248476719662,3.75269096685889
Chad,9750912.909090908,2490285.6363636362,0.255389998821742,3.0614836511167716
Tanzania,39074491.27272727,9532245.454545455,0.24395059651611262,3.174424062297367
Swaziland,1023112.8181818182,248333.27272727274,0.24272325428254113,3.4767049341703005
Tonga,100969.09090909091,24383.363636363636,0.24149334629859723,3.562647363971025
